avg_vol_3_month,intraday_price,market_cap,name,pe_ratio_ttm,percent_change,price_change,sector,ticker,volume
1511000.0,390.67,191271000000.0,Linde plc,43.46,+0.50,+1.96,basic_materials,LIN,1612000.0
2643000.0,62.65,158545000000.0,BHP Group Limited,8.71,+2.15,+1.32,basic_materials,BHP,1827000.0
3064000.0,66.55,107956000000.0,Rio Tinto Group,8.73,+0.68,+0.45,basic_materials,RIO,3006000.0
1425000.0,276.50,71307000000.0,The Sherwin-Williams Company,30.72,-1.29,-3.62,basic_materials,SHW,1780000.0
832133,305.33,67821000000.0,"Air Products and Chemicals, Inc.",31.38,+0.63,+1.90,basic_materials,APD,1140000.0
1161000.0,87.44,67599999999.99999,Southern Copper Corporation,25.42,+2.61,+2.22,basic_materials,SCCO,1173000.0
1764,76.93,66760000000.00001,"EIDP, Inc.",,+1.08,+0.82,basic_materials,CTA-PB,3198
12592000.0,44.65,63996000000.0,Freeport-McMoRan Inc.,30.37,+2.34,+1.02,basic_materials,FCX,10206000.0
21766000.0,14.63,63468000000.0,Vale S.A.,4.72,+2.74,+0.39,basic_materials,VALE,21839000.0
1042999.9999999999,183.14,52144000000.0,Ecolab Inc.,45.56,-0.24,-0.44,basic_materials,ECL,1300000.0
485,59.85,51938000000.0,"EIDP, Inc.",,+0.59,+0.35,basic_materials,CTA-PA,4401
1251000.0,60.30,43710000000.0,CRH plc,17.33,+0.37,+0.22,basic_materials,CRH,1208000.0
1451000.0,172.09,43233000000.0,Nucor Corporation,7.91,+1.86,+3.15,basic_materials,NUE,1637000.0
3384000.0,56.43,40115000000.0,"Corteva, Inc.",33.19,+0.52,+0.29,basic_materials,CTVA,2077000.0
4677000.0,56.47,39942000000.0,Dow Inc.,14.12,+1.82,+1.01,basic_materials,DOW,6366000.0
341269,125.49,38087000000.0,POSCO Holdings Inc.,23.81,+3.80,+4.59,basic_materials,PKX,516331
3453000.0,77.63,35633000000.0,"DuPont de Nemours, Inc.",35.61,+0.43,+0.33,basic_materials,DD,2372000.0
2898000.0,68.89,34212000000.000004,Nutrien Ltd.,5.37,+1.70,+1.15,basic_materials,NTR,1748000.0
7808000.0,42.92,34110000000.0,Newmont Corporation,,+1.18,+0.50,basic_materials,NEM,7612000.0
1507000.0,143.90,33890000000.0,"PPG Industries, Inc.",25.83,-1.04,-1.51,basic_materials,PPG,2012000.0
1904000.0,98.86,32497000000.0,LyondellBasell Industries N.V.,10.66,+0.50,+0.49,basic_materials,LYB,3574000.0
14091000.0,17.29,30352000000.0,Barrick Gold Corporation,288.17,+1.83,+0.31,basic_materials,GOLD,10507000.0
838277,220.50,29340000000.0,Vulcan Materials Company,47.22,+0.14,+0.31,basic_materials,VMC,650912
431474,145.84,27995000000.0,Franco-Nevada Corporation,41.55,+1.19,+1.72,basic_materials,FNV,304214
394467,446.46,27667000000.0,"Martin Marietta Materials, Inc.",29.33,-0.51,-2.27,basic_materials,MLM,448883
2389000.0,52.41,25910000000.0,Agnico Eagle Mines Limited,10.32,+2.12,+1.09,basic_materials,AEM,1812000.0
1996000.0,212.28,24908000000.0,Albemarle Corporation,6.80,+2.03,+4.23,basic_materials,ALB,3303000.0
2104000.0,28.86,24184000000.0,ArcelorMittal S.A.,4.02,+2.70,+0.76,basic_materials,MT,3224000.0
3802000.0,44.43,22890000000.0,Teck Resources Limited,8.30,+1.69,+0.74,basic_materials,TECK,2795000.0
2220000.0,84.61,21583000000.0,International Flavors & Fragrances Inc.,,-0.80,-0.68,basic_materials,IFF,4531000.0
1403000.0,73.69,21049000000.0,Sociedad Química y Minera de Chile S.A.,5.45,-1.23,-0.92,basic_materials,SQM,1906000.0
1616000.0,44.83,20301000000.0,Wheaton Precious Metals Corp.,32.49,+1.86,+0.82,basic_materials,WPM,1109000.0
1528000.0,106.58,18016000000.0,"Steel Dynamics, Inc.",6.17,+2.67,+2.77,basic_materials,STLD,1277000.0
499441,137.50,17551000000.0,Westlake Corporation,9.44,+0.31,+0.42,basic_materials,WLK,382585
327216,292.86,17218000000.0,Reliance Steel & Aluminum Co.,10.45,+1.10,+3.19,basic_materials,RS,239182
2665000.0,82.08,16006000000.0,"CF Industries Holdings, Inc.",5.46,+1.05,+0.85,basic_materials,CF,1949000.0
5174000.0,15.47,14299000000.0,Gold Fields Limited,19.83,+0.85,+0.13,basic_materials,GFI,5709000.0
6088000.0,20.57,13887000000.0,"Avantor, Inc.",22.86,-3.34,-0.71,basic_materials,AVTR,11255000.0
1439000.0,125.39,13641000000.0,Celanese Corporation,9.18,-0.48,-0.60,basic_materials,CE,758911
4333000.0,40.76,13537000000.0,The Mosaic Company,5.00,+1.34,+0.54,basic_materials,MOS,2457000.0
637991,103.31,13318000000.0,RPM International Inc.,27.77,-1.28,-1.34,basic_materials,RPM,1510000.0
43337,29.60,13197000000.0,James Hardie Industries plc,25.74,+1.51,+0.44,basic_materials,JHX,29032
1395000.0,10.16,13123000000.0,Suzano S.A.,3.49,+1.70,+0.17,basic_materials,SUZ,1127000.0
1240000.0,96.23,12042000000.0,FMC Corporation,14.90,-0.11,-0.11,basic_materials,FMC,779056
6169000.0,7.62,11055000000.0,"CEMEX, S.A.B. de C.V.",19.54,-0.65,-0.05,basic_materials,CX,7276000.0
6288000.0,6.15,10757000000.0,Gerdau S.A.,4.56,+3.19,+0.19,basic_materials,GGB,5380000.0
907785,85.58,10197000000.0,Eastman Chemical Company,15.09,-0.96,-0.83,basic_materials,EMN,1897000.0
2459000.0,22.20,9315000000.0,AngloGold Ashanti Limited,49.33,+0.82,+0.18,basic_materials,AU,1498000.0
8484000.0,17.65,9091000000.0,Cleveland-Cliffs Inc.,18.58,+3.16,+0.54,basic_materials,CLF,6747000.0
298864,14.07,8925000000.0,Sasol Limited,4.19,+0.64,+0.09,basic_materials,SSL,207803
214985,44.65,8765000000.0,Ternium S.A.,6.35,+0.22,+0.10,basic_materials,TX,278256
1253000.0,6.69,8626000000.0,ICL Group Ltd,4.78,0.00,0.00,basic_materials,ICL,1280000.0
415287,120.14,7891000000.0,"Royal Gold, Inc.",33.37,+1.32,+1.57,basic_materials,RGLD,867350
1418000.0,57.68,7457000000.0,Olin Corporation,7.57,-0.52,-0.30,basic_materials,OLN,2330000.0
2128000.0,32.00,7089000000.0,Axalta Coating Systems Ltd.,33.33,-1.08,-0.35,basic_materials,AXTA,1946000.0
119004,84.29,7038000000.0,West Fraser Timber Co. Ltd.,8.35,-1.08,-0.92,basic_materials,WFG,151325
165950,158.00,6742000000.0,"Simpson Manufacturing Co., Inc.",19.82,-0.04,-0.07,basic_materials,SSD,242001
819787,57.22,6682000000.0,Commercial Metals Company,7.07,+1.72,+0.97,basic_materials,CMC,619359
364225,184.37,6548000000.0,Eagle Materials Inc.,14.79,+1.11,+2.03,basic_materials,EXP,310690
4886000.0,36.19,6456000000.0,Alcoa Corporation,,+4.11,+1.43,basic_materials,AA,6025000.0
329869,102.76,6381000000.0,"UFP Industries, Inc.",10.33,+0.91,+0.93,basic_materials,UFPI,160356
3665000.0,16.88,6161000000.0,Pan American Silver Corp.,,+6.36,+1.01,basic_materials,PAAS,5009000.0
6907000.0,25.50,5775000000.0,United States Steel Corporation,3.68,+3.36,+0.83,basic_materials,X,7694000.0
1978000.0,36.14,5701000000.0,Univar Solutions Inc.,13.29,+0.47,+0.17,basic_materials,UNVR,4869000.0
1596000.0,36.98,5516000000.0,The Chemours Company,11.63,+1.12,+0.41,basic_materials,CC,1826000.0
3562000.0,7.73,5470000000.0,Sibanye Stillwater Limited,5.33,+3.20,+0.24,basic_materials,SBSW,5389000.0
1869000.0,29.77,5394000000.0,Huntsman Corporation,20.82,+0.10,+0.03,basic_materials,HUN,1593000.0
1407000.0,20.96,5060000000.0,Element Solutions Inc,29.94,+0.14,+0.03,basic_materials,ESI,1840000.0
2591000.0,12.35,4876000000.0,Alamos Gold Inc.,53.70,+1.48,+0.18,basic_materials,AGI,2019000.0000000002
575350,91.36,4783000000.0,Ashland Inc.,20.62,-0.49,-0.45,basic_materials,ASH,481273
3060000.0,24.62,4424000000.0,Livent Corporation,14.48,+0.08,+0.02,basic_materials,LTHM,2884000.0
1410000.0,10.62,4365000000.0,Braskem S.A.,,+2.71,+0.28,basic_materials,BAK,917265
32045,451.70,4348000000.0,NewMarket Corporation,14.07,+0.66,+2.94,basic_materials,NEU,30303
94054,134.74,4342000000.0,Balchem Corporation,44.18,+2.97,+3.89,basic_materials,BCPC,191222
789374,36.18,4299000000.0,"Summit Materials, Inc.",16.01,+0.03,+0.01,basic_materials,SUM,626879
2918000.0,23.85,4236000000.0,MP Materials Corp.,18.78,+0.25,+0.06,basic_materials,MP,1977000.0
325948,103.49,4097000000.0000005,Boise Cascade Company,6.32,+1.53,+1.56,basic_materials,BCC,428454
336264,74.03,3988000000.0,H.B. Fuller Company,26.16,+1.40,+1.02,basic_materials,FUL,855671
338398,71.00,3986000000.0,Cabot Corporation,12.79,+1.30,+0.91,basic_materials,CBT,370120
721645,70.04,3927000000.0,The Scotts Miracle-Gro Company,,-0.91,-0.64,basic_materials,SMG,585628
524850,40.53,3691000000.0,Avient Corporation,94.26,+1.00,+0.40,basic_materials,AVNT,498826
98498,200.38,3603000000.0,Quaker Chemical Corporation,,+1.02,+2.02,basic_materials,KWR,75330
6323000.0,5.76,3550000000.0,Hecla Mining Company,,+3.23,+0.18,basic_materials,HL,4336000.0
